Mpatch,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012
cro0103,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cro0405,1,0,0,1,1,0,0,NA,0,1,1,1,1,0
cro06,1,0,1,0,0,0,0,NA,1,1,1,0,1,0
cro0708,0,1,0,1,1,1,1,1,1,1,1,1,1,0
cro09,1,0,0,0,1,1,1,1,1,0,0,0,1,0
cro10,1,1,0,1,1,1,1,NA,1,0,0,1,1,1
cro1115,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cro12,0,0,1,1,1,1,1,NA,1,1,1,1,0,1
cro13,1,0,1,1,1,1,1,1,0,0,1,1,1,1
cro1617,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cro18,0,1,0,1,1,0,0,1,1,0,0,1,1,1
cro19,0,0,0,1,0,0,0,1,1,1,1,1,0,0
cro20,0,0,0,0,1,1,0,1,1,1,0,0,1,0
cro21,0,0,0,0,1,1,0,1,1,0,0,0,1,0
cro2223,1,0,0,0,0,1,0,0,1,0,0,1,1,0
cro24,0,0,0,0,0,1,1,1,1,1,1,1,1,1
cro2526,1,0,1,1,0,1,1,NA,1,1,1,0,0,1
cro27,1,0,1,0,0,0,0,NA,1,0,0,0,0,0
cro28,0,0,1,0,0,0,1,NA,1,1,1,1,1,0
cro29,1,NA,1,1,1,1,1,1,1,1,1,1,1,0
cro30,1,NA,NA,NA,1,0,NA,NA,NA,1,1,1,1,1
cro31,NA,1,NA,1,1,1,1,NA,0,1,0,1,1,1
cro32,NA,NA,NA,1,1,0,1,NA,1,1,0,1,1,0
cro33,NA,NA,NA,1,1,0,NA,NA,1,1,0,0,1,1
cro36,NA,NA,NA,NA,NA,1,1,1,NA,1,0,1,1,0
led01,1,1,0,0,0,0,0,0,1,0,0,0,1,1
led02,0,0,0,0,0,0,0,0,1,0,1,0,1,0
led03,0,0,0,1,1,0,0,0,1,0,0,1,1,0
led04,0,0,0,1,0,0,0,0,NA,0,0,0,0,1
led05,0,0,0,1,NA,0,0,0,0,0,0,0,0,0
led06,1,0,NA,0,1,1,0,0,1,0,1,1,1,1
led0708,1,1,1,1,0,1,1,1,1,1,1,1,1,1
led09,1,1,0,1,0,0,0,0,1,0,0,0,1,0
led11,1,0,0,1,1,1,1,1,1,1,0,0,1,1
led12,1,1,0,0,0,0,0,0,NA,0,0,0,1,0
led13,0,0,0,1,1,1,0,0,1,0,0,1,1,0
led1415,1,1,0,1,1,0,0,0,1,0,0,1,0,0
led16,0,0,0,0,1,0,0,NA,1,1,0,0,0,0
led17,0,1,1,1,NA,0,0,NA,0,1,0,0,1,0
led18,0,0,1,0,NA,0,0,NA,0,0,0,0,1,0
led19,1,0,0,1,NA,0,0,NA,0,0,0,0,0,0
led2021,0,1,1,0,NA,0,1,1,1,0,1,1,1,1
led2223,1,1,1,0,0,1,0,0,0,1,1,1,0,1
led2425,1,1,1,1,1,1,0,0,1,1,1,1,1,1
led2728,0,0,NA,NA,0,1,1,1,1,0,0,0,0,0
ledx,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0
lei01,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
lei0203,1,1,0,0,0,1,1,1,1,1,1,1,1,1
lei04,0,0,0,1,0,1,1,1,1,0,0,1,1,1
lei05,0,0,0,0,0,0,1,1,1,1,1,0,1,1
lei0607,0,0,0,0,0,1,1,0,1,1,0,1,1,1
lei08,0,1,0,0,0,0,0,0,1,1,1,1,1,1
lei09,1,1,NA,1,1,1,1,1,1,0,0,0,1,1
lei10,0,NA,0,NA,1,1,1,1,1,1,0,0,1,0
lei11,1,0,0,NA,0,1,1,1,1,1,1,1,1,1
lei12,0,0,0,NA,0,1,0,0,1,1,1,0,1,0
lei1317,1,0,0,1,0,0,0,1,1,1,1,1,1,1
lei18,0,0,0,NA,0,0,0,1,1,1,0,1,1,1
lei19,0,0,0,1,0,0,0,0,0,0,1,0,1,0
lei20,0,1,0,0,0,0,0,0,0,0,0,0,1,1
lei21,0,0,0,1,0,0,0,0,1,0,1,0,1,1
lei2324,1,1,0,0,0,0,0,0,1,1,1,1,1,0
lei25,NA,NA,NA,NA,0,0,0,NA,1,0,0,1,1,1
sgi0103,1,1,1,0,0,1,1,1,1,1,1,0,1,1
sgi02,1,NA,0,1,0,1,1,1,1,1,0,0,1,0
sgi0407,1,1,1,1,1,1,1,1,1,1,0,1,1,0
